Datum,Timestamp,Closing
01.11.2019,1572566400,58
02.11.2019,1572652800,58
03.11.2019,1572739200,57
04.11.2019,1572825600,58
05.11.2019,1572912000,62
06.11.2019,1572998400,63
07.11.2019,1573084800,62
08.11.2019,1573171200,59
09.11.2019,1573257600,60
10.11.2019,1573344000,64
11.11.2019,1573430400,65
12.11.2019,1573516800,61
13.11.2019,1573603200,60
14.11.2019,1573689600,59
15.11.2019,1573776000,57
16.11.2019,1573862400,58
17.11.2019,1573948800,60
18.11.2019,1574035200,56
19.11.2019,1574121600,55
20.11.2019,1574208000,55
21.11.2019,1574294400,49
22.11.2019,1574380800,47
23.11.2019,1574467200,48
24.11.2019,1574553600,42
25.11.2019,1574640000,46
26.11.2019,1574726400,47
27.11.2019,1574812800,48
28.11.2019,1574899200,47
29.11.2019,1574985600,49
30.11.2019,1575072000,47
